ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,YEAR,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80PLUS,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80PLUS,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80PLUS,DistictCodes
FREE STATE,ZA4,THABO MOFUTSANYANE,ZA419,2020.0,351109.0,311720.0,662829.0,33163.0,36626.0,33941.0,30651.0,27617.0,28255.0,30207.0,24918.0,20184.0,17031.0,15126.0,14624.0,12752.0,9940.0,7099.0,5046.0,3929.0,32924.0,36310.0,33463.0,30758.0,25127.0,23950.0,26251.0,22491.0,18015.0,14883.0,11895.0,10543.0,9111.0,6923.0,4263.0,2843.0,1970.0,66087.0,72936.0,67404.0,61409.0,52744.0,52205.0,56458.0,47409.0,38199.0,31914.0,27021.0,25167.0,21863.0,16863.0,11362.0,7889.0,5899.0,DC19
KWAZULU-NATAL,ZA5,UGO,ZA521,2020.0,375634.0,338385.0,714019.0,37290.0,38190.0,38687.0,36177.0,29179.0,29947.0,29289.0,23961.0,18581.0,17151.0,15273.0,13697.0,14598.0,12630.0,9661.0,6207.0,5116.0,37774.0,38705.0,38716.0,35773.0,26828.0,26356.0,25452.0,22655.0,16447.0,14484.0,11593.0,10976.0,11207.0,8327.0,6447.0,3858.0,2787.0,75064.0,76895.0,77403.0,71950.0,56007.0,56303.0,54741.0,46616.0,35028.0,31635.0,26866.0,24673.0,25805.0,20957.0,16108.0,10065.0,7903.0,DC21
KWAZULU-NATAL,ZA5,UMGUNGUNDLOVU,ZA522,2020.0,541918.0,504987.0,1046905.0,45778.0,48176.0,49533.0,47503.0,47858.0,49321.0,49865.0,42533.0,31082.0,25877.0,22223.0,22006.0,20899.0,15097.0,10844.0,7063.0,6260.0,46590.0,48517.0,49135.0,47178.0,45488.0,46114.0,48639.0,44189.0,31357.0,23223.0,18001.0,16634.0,15022.0,10417.0,6773.0,4389.0,3321.0,92368.0,96693.0,98668.0,94681.0,93346.0,95435.0,98504.0,86722.0,62439.0,49100.0,40224.0,38640.0,35921.0,25514.0,17617.0,11452.0,9581.0,DC22
KWAZULU-NATAL,ZA5,UMHLABUYALINGANA,ZA527,2020.0,345959.0,297359.0,643318.0,40722.0,42987.0,44473.0,37615.0,29246.0,27484.0,26149.0,19931.0,15518.0,12782.0,11238.0,8929.0,8256.0,6370.0,6051.0,4134.0,4074.0,41401.0,43445.0,44411.0,37433.0,23597.0,18914.0,18047.0,15534.0,11757.0,9984.0,8060.0,6758.0,5905.0,4209.0,3695.0,1990.0,2219.0,82123.0,86432.0,88884.0,75048.0,52843.0,46398.0,44196.0,35465.0,27275.0,22766.0,19298.0,15687.0,14161.0,10579.0,9746.0,6124.0,6293.0,DC27
KWAZULU-NATAL,ZA5,UMZINYATHI,ZA524,2020.0,282209.0,232252.0,514461.0,32307.0,34669.0,34738.0,29450.0,21336.0,20282.0,19924.0,15976.0,12388.0,11610.0,9591.0,9866.0,9553.0,7581.0,5698.0,3364.0,3876.0,31910.0,34698.0,35009.0,28943.0,16115.0,13634.0,13776.0,12237.0,9428.0,8015.0,6214.0,6335.0,5963.0,4402.0,2751.0,1470.0,1352.0,64217.0,69367.0,69747.0,58393.0,37451.0,33916.0,33700.0,28213.0,21816.0,19625.0,15805.0,16201.0,15516.0,11983.0,8449.0,4834.0,5228.0,DC24
KWAZULU-NATAL,ZA5,UTHUKELA,ZA523,2020.0,347126.0,305156.0,652282.0,37916.0,39993.0,39583.0,33448.0,27306.0,28268.0,27675.0,21444.0,16478.0,14489.0,12842.0,12513.0,12459.0,8710.0,6431.0,3979.0,3592.0,38237.0,39884.0,39302.0,32919.0,23285.0,22736.0,23075.0,20158.0,14671.0,12155.0,9537.0,8967.0,8099.0,4938.0,3659.0,1954.0,1580.0,76153.0,79877.0,78885.0,66367.0,50591.0,51004.0,50750.0,41602.0,31149.0,26644.0,22379.0,21480.0,20558.0,13648.0,10090.0,5933.0,5172.0,DC23
KWAZULU-NATAL,ZA5,UTHUNGULU,ZA528,2020.0,466112.0,423364.0,889476.0,49103.0,50510.0,51881.0,47503.0,42746.0,41975.0,39110.0,29183.0,21392.0,18993.0,17045.0,14344.0,14116.0,9453.0,8289.0,5325.0,5144.0,48621.0,50606.0,51573.0,45864.0,36135.0,35213.0,34990.0,29869.0,20908.0,16766.0,13639.0,12146.0,10327.0,6997.0,4737.0,2521.0,2452.0,97724.0,101116.0,103454.0,93367.0,78881.0,77188.0,74100.0,59052.0,42300.0,35759.0,30684.0,26490.0,24443.0,16450.0,13026.0,7846.0,7596.0,DC28
LIMPOPO,ZA9,VHEMBE,ZA934,2020.0,715896.0,609193.0,1325089.0,73802.0,76488.0,76517.0,71498.0,56462.0,53936.0,59282.0,51070.0,37400.0,31156.0,27180.0,22669.0,19595.0,17449.0,13364.0,13414.0,14614.0,74244.0,76095.0,77872.0,73744.0,53439.0,42355.0,43543.0,36596.0,29478.0,23929.0,17798.0,15359.0,13671.0,11045.0,8971.0,5487.0,5567.0,148046.0,152583.0,154389.0,145242.0,109901.0,96291.0,102825.0,87666.0,66878.0,55085.0,44978.0,38028.0,33266.0,28494.0,22335.0,18901.0,20181.0,DC34
LIMPOPO,ZA9,WATERBERG,ZA936,2020.0,349272.0,369241.0,718513.0,35742.0,34415.0,33241.0,29580.0,29058.0,30465.0,30581.0,26430.0,19342.0,16544.0,13566.0,12335.0,10947.0,9623.0,7909.0,5044.0,4450.0,35567.0,34380.0,32934.0,31217.0,32009.0,35374.0,37911.0,30718.0,22618.0,19298.0,15283.0,12231.0,9889.0,7556.0,5979.0,3517.0,2760.0,71309.0,68795.0,66175.0,60797.0,61067.0,65839.0,68492.0,57148.0,41960.0,35842.0,28849.0,24566.0,20836.0,17179.0,13888.0,8561.0,7210.0,DC36
WESTERN CAPE,ZA1,WEST COAST,ZA101,2020.0,245723.0,251762.0,497485.0,19732.0,20600.0,20710.0,18300.0,19571.0,21400.0,22138.0,20587.0,17935.0,14224.0,12450.0,10655.0,9298.0,7508.0,5016.0,3213.0,2386.0,20223.0,20415.0,20037.0,17599.0,18630.0,20822.0,23060.0,22760.0,21268.0,16758.0,13254.0,10914.0,9262.0,7357.0,4678.0,3094.0,1631.0,39955.0,41015.0,40747.0,35899.0,38201.0,42222.0,45198.0,43347.0,39203.0,30982.0,25704.0,21569.0,18560.0,14865.0,9694.0,6307.0,4017.0,DC1
GAUTENG,ZA7,WEST RAND,ZA748,2020.0,403715.0,453089.0,856804.0,35080.0,33245.0,31588.0,28896.0,34323.0,40799.0,44060.0,35842.0,28125.0,22852.0,19285.0,15790.0,12127.0,9149.0,6093.0,3660.0,2801.0,35091.0,32726.0,30662.0,28108.0,37795.0,44901.0,52720.0,46239.0,37619.0,32141.0,25277.0,18271.0,12400.0,8579.0,5341.0,3192.0,2027.0,70171.0,65971.0,62250.0,57004.0,72118.0,85700.0,96780.0,82081.0,65744.0,54993.0,44562.0,34061.0,24527.0,17728.0,11434.0,6852.0,4828.0,DC48
FREE STATE,ZA4,XHARIEP,ZA416,2020.0,52825.0,52934.0,105759.0,5033.0,5621.0,5020.0,4291.0,3922.0,3987.0,4331.0,3943.0,3184.0,2584.0,2299.0,2236.0,2101.0,1550.0,1275.0,830.0,618.0,5042.0,5513.0,4986.0,4297.0,4072.0,4274.0,4837.0,4153.0,3481.0,2789.0,2270.0,2022.0,1825.0,1383.0,984.0,602.0,404.0,10075.0,11134.0,10006.0,8588.0,7994.0,8261.0,9168.0,8096.0,6665.0,5373.0,4569.0,4258.0,3926.0,2933.0,2259.0,1432.0,1022.0,DC16
KWAZULU-NATAL,ZA5,ZULULAND,ZA526,2020.0,419221.0,364575.0,783796.0,48805.0,52544.0,53194.0,44543.0,34985.0,32616.0,29526.0,22448.0,17673.0,16228.0,14426.0,13825.0,11958.0,8583.0,7820.0,5084.0,4963.0,47966.0,52089.0,53040.0,45061.0,28982.0,24544.0,23040.0,19415.0,14404.0,11962.0,10646.0,9696.0,8412.0,5855.0,4549.0,2577.0,2337.0,96771.0,104633.0,106234.0,89604.0,63967.0,57160.0,52566.0,41863.0,32077.0,28190.0,25072.0,23521.0,20370.0,14438.0,12369.0,7661.0,7300.0,DC26
