ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,YEAR,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80PLUS,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80PLUS,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80PLUS,DistictCodes
WESTERN CAPE,ZA1,CITY OF CAPE TOWN,ZA191,2020.0,2228850.0,2207563.0,4436413.0,185630.0,174458.0,166346.0,161100.0,187849.0,218197.0,229496.0,190254.0,149402.0,123630.0,108795.0,93922.0,81886.0,63438.0,43824.0,28219.0,22404.0,192967.0,175540.0,163125.0,152218.0,177291.0,210627.0,238645.0,211508.0,167513.0,132202.0,104734.0,83486.0,70251.0,53696.0,35819.0,23203.0,14738.0,378597.0,349998.0,329471.0,313318.0,365140.0,428824.0,468141.0,401762.0,316915.0,255832.0,213529.0,177408.0,152137.0,117134.0,79643.0,51422.0,37142.0,CPT
GAUTENG,ZA7,CITY OF JOHANNESBURG,ZA798,2020.0,2716378.0,2824349.0,5540727.0,231480.0,202744.0,182536.0,176163.0,255277.0,319486.0,333179.0,251674.0,177815.0,135981.0,118133.0,102693.0,82680.0,59472.0,40561.0,25798.0,20706.0,234535.0,202892.0,176203.0,168893.0,245840.0,325729.0,379307.0,309406.0,220072.0,155624.0,116646.0,95526.0,74550.0,52097.0,32303.0,20220.0,14506.0,466015.0,405636.0,358739.0,345056.0,501117.0,645215.0,712486.0,561080.0,397887.0,291605.0,234779.0,198219.0,157230.0,111569.0,72864.0,46018.0,35212.0,JHB
GAUTENG,ZA7,CITY OF TSHWANE,ZA799,2020.0,1793191.0,1834795.0,3627986.0,146384.0,134774.0,123812.0,127002.0,172902.0,189419.0,198616.0,161150.0,121569.0,94871.0,81757.0,69623.0,57546.0,46123.0,30982.0,19826.0,16835.0,147247.0,133923.0,122287.0,122181.0,165580.0,190593.0,218189.0,186964.0,143769.0,106509.0,83561.0,68867.0,53239.0,39725.0,25066.0,16140.0,10955.0,293631.0,268697.0,246099.0,249183.0,338482.0,380012.0,416805.0,348114.0,265338.0,201380.0,165318.0,138490.0,110785.0,85848.0,56048.0,35966.0,27790.0,TSH
NORTH WEST,ZA6,DOCTOR KENNETH KAUNDA,ZA640,2020.0,372238.0,382193.0,754431.0,34577.0,34984.0,32935.0,28469.0,30876.0,31688.0,34526.0,29094.0,23527.0,19726.0,17228.0,15470.0,13034.0,10911.0,7373.0,4571.0,3249.0,35554.0,35985.0,33478.0,29249.0,29400.0,30720.0,35032.0,32959.0,27837.0,23083.0,18873.0,15275.0,12035.0,9840.0,6286.0,4035.0,2552.0,70131.0,70969.0,66413.0,57718.0,60276.0,62408.0,69558.0,62053.0,51364.0,42809.0,36101.0,30745.0,25069.0,20751.0,13659.0,8606.0,5801.0,DC40
NORTH WEST,ZA6,DOCTOR RUTH SEGOMOTSI MOMPATI,ZA639,2020.0,241069.0,232715.0,473784.0,26390.0,28442.0,25486.0,20875.0,16867.0,17259.0,18876.0,16453.0,12551.0,10995.0,9855.0,9512.0,8247.0,7691.0,5040.0,3499.0,3031.0,26919.0,28757.0,25677.0,22000.0,15526.0,14957.0,17078.0,15818.0,12893.0,11266.0,9832.0,8670.0,7675.0,6629.0,4205.0,2834.0,1979.0,53309.0,57199.0,51163.0,42875.0,32393.0,32216.0,35954.0,32271.0,25444.0,22261.0,19687.0,18182.0,15922.0,14320.0,9245.0,6333.0,5010.0,DC39
WESTERN CAPE,ZA1,EDEN,ZA104,2020.0,337379.0,336460.0,673839.0,26339.0,28223.0,28817.0,24316.0,23110.0,27308.0,29575.0,28055.0,23872.0,19089.0,16825.0,15586.0,15095.0,13066.0,8760.0,5312.0,4031.0,27108.0,28397.0,27623.0,23900.0,21724.0,25695.0,30121.0,29644.0,26602.0,21199.0,16932.0,14310.0,13666.0,11932.0,8625.0,5620.0,3362.0,53447.0,56620.0,56440.0,48216.0,44834.0,53003.0,59696.0,57699.0,50474.0,40288.0,33757.0,29896.0,28761.0,24998.0,17385.0,10932.0,7393.0,DC4
MPUMALANGA,ZA8,EHLANZENI,ZA832,2020.0,955904.0,881634.0,1837538.0,96027.0,99554.0,103710.0,93750.0,84642.0,86890.0,85792.0,70773.0,52467.0,40760.0,30933.0,29824.0,24093.0,19535.0,16352.0,10535.0,10267.0,96637.0,98258.0,101891.0,91698.0,78171.0,76128.0,76931.0,64935.0,48496.0,38654.0,27169.0,23790.0,19849.0,14880.0,11582.0,6449.0,6116.0,192664.0,197812.0,205601.0,185448.0,162813.0,163018.0,162723.0,135708.0,100963.0,79414.0,58102.0,53614.0,43942.0,34415.0,27934.0,16984.0,16383.0,DC32
GAUTENG,ZA7,EKURHULENI,ZA797,2020.0,1792986.0,1946667.0,3739653.0,160182.0,143413.0,132603.0,124812.0,162328.0,196615.0,204888.0,161279.0,117678.0,92581.0,79383.0,68041.0,54361.0,40578.0,26371.0,16017.0,11856.0,161178.0,143525.0,130316.0,121246.0,163063.0,213469.0,251547.0,208582.0,153139.0,112614.0,85260.0,69866.0,52979.0,36940.0,22084.0,12941.0,7918.0,321360.0,286938.0,262919.0,246058.0,325391.0,410084.0,456435.0,369861.0,270817.0,205195.0,164643.0,137907.0,107340.0,77518.0,48455.0,28958.0,19774.0,EKU
KWAZULU-NATAL,ZA5,ETHEKWINI,ZA595,2020.0,1813289.0,1774618.0,3587907.0,147660.0,143751.0,148103.0,149840.0,176076.0,187029.0,184347.0,144946.0,107640.0,90534.0,78385.0,71051.0,65680.0,49705.0,33313.0,20172.0,15057.0,149357.0,143885.0,144977.0,143475.0,170083.0,187748.0,195388.0,163352.0,118115.0,89575.0,70382.0,60744.0,53888.0,37770.0,22742.0,13903.0,9234.0,297017.0,287636.0,293080.0,293315.0,346159.0,374777.0,379735.0,308298.0,225755.0,180109.0,148767.0,131795.0,119568.0,87475.0,56055.0,34075.0,24291.0,ETH
FREE STATE,ZA4,FEZILE DABI,ZA420,2020.0,244675.0,249625.0,494300.0,22495.0,23018.0,21511.0,19201.0,18666.0,20112.0,22438.0,18765.0,14745.0,12611.0,11259.0,10722.0,9560.0,7841.0,5431.0,3601.0,2699.0,22597.0,22918.0,21174.0,19295.0,20042.0,21689.0,25191.0,21326.0,17480.0,14061.0,11291.0,9796.0,8214.0,6428.0,3913.0,2523.0,1687.0,45092.0,45936.0,42685.0,38496.0,38708.0,41801.0,47629.0,40091.0,32225.0,26672.0,22550.0,20518.0,17774.0,14269.0,9344.0,6124.0,4386.0,DC20
NORTHERN CAPE,ZA3,FRANCIS BAARD,ZA309,2020.0,213697.0,206883.0,420580.0,19170.0,20413.0,20138.0,17341.0,16297.0,18051.0,20082.0,16591.0,13130.0,10771.0,9861.0,8845.0,7595.0,6232.0,4273.0,2810.0,2097.0,19742.0,20982.0,19848.0,17293.0,15339.0,16631.0,19667.0,16821.0,13974.0,11224.0,9451.0,7683.0,6619.0,4934.0,3183.0,2151.0,1341.0,38912.0,41395.0,39986.0,34634.0,31636.0,34682.0,39749.0,33412.0,27104.0,21995.0,19312.0,16528.0,14214.0,11166.0,7456.0,4961.0,3438.0,DC9
MPUMALANGA,ZA8,GERT SIBANDE,ZA830,2020.0,568413.0,567693.0,1136106.0,56091.0,60305.0,58912.0,52047.0,47384.0,49396.0,47927.0,40377.0,32063.0,27737.0,24169.0,20879.0,17054.0,13300.0,10098.0,5771.0,4903.0,56258.0,59781.0,57304.0,51858.0,47660.0,50800.0,52468.0,44119.0,35122.0,28495.0,23945.0,19990.0,15014.0,10817.0,6731.0,4156.0,3175.0,112349.0,120086.0,116216.0,103905.0,95044.0,100196.0,100395.0,84496.0,67185.0,56232.0,48114.0,40869.0,32068.0,24117.0,16829.0,9927.0,8078.0,DC30
LIMPOPO,ZA9,GREATER SEKHUKHUNE,ZA947,2020.0,602207.0,523126.0,1125333.0,66069.0,67960.0,64715.0,57530.0,46724.0,45777.0,46878.0,38254.0,28721.0,25334.0,20386.0,19611.0,19502.0,21015.0,13838.0,9337.0,10556.0,66422.0,67922.0,64933.0,58388.0,42452.0,36064.0,37411.0,31196.0,24100.0,20139.0,15521.0,14791.0,13457.0,10912.0,9699.0,5029.0,4690.0,132491.0,135882.0,129648.0,115918.0,89176.0,81841.0,84289.0,69450.0,52821.0,45473.0,35907.0,34402.0,32959.0,31927.0,23537.0,14366.0,15246.0,DC47
KWAZULU-NATAL,ZA5,ILEMBI,ZA529,2020.0,329375.0,307424.0,636799.0,34743.0,34149.0,33796.0,31172.0,28373.0,29410.0,28379.0,22370.0,16551.0,14065.0,12011.0,10972.0,11454.0,8408.0,6192.0,3855.0,3475.0,35084.0,34259.0,34231.0,30372.0,25858.0,26947.0,27387.0,23801.0,16519.0,12599.0,9665.0,8677.0,8416.0,5900.0,3930.0,2142.0,1637.0,69827.0,68408.0,68027.0,61544.0,54231.0,56357.0,55766.0,46171.0,33070.0,26664.0,21676.0,19649.0,19870.0,14308.0,10122.0,5997.0,5112.0,DC29
EASTERN CAPE,ZA2,JOE QADI,ZA214,2020.0,177432.0,162041.0,339473.0,17259.0,19753.0,19286.0,16764.0,12693.0,11681.0,12253.0,10931.0,8546.0,7778.0,7877.0,7692.0,7458.0,5930.0,4900.0,3824.0,2807.0,17393.0,19803.0,19906.0,17834.0,12398.0,10279.0,11326.0,10057.0,7735.0,6436.0,5793.0,5720.0,5631.0,4508.0,3365.0,2381.0,1476.0,34652.0,39556.0,39192.0,34598.0,25091.0,21960.0,23579.0,20988.0,16281.0,14214.0,13670.0,13412.0,13089.0,10438.0,8265.0,6205.0,4283.0,DC14
NORTHERN CAPE,ZA3,JOHN TAOLO GAETSEWE,ZA345,2020.0,130170.0,128054.0,258224.0,13020.0,14449.0,13415.0,10989.0,9902.0,11057.0,12458.0,9759.0,6935.0,6049.0,5515.0,4860.0,3957.0,3054.0,2106.0,1483.0,1162.0,13795.0,14430.0,13489.0,10913.0,9541.0,10741.0,12355.0,10035.0,7739.0,6052.0,5242.0,4593.0,3494.0,2501.0,1425.0,1002.0,707.0,26815.0,28879.0,26904.0,21902.0,19443.0,21798.0,24813.0,19794.0,14674.0,12101.0,10757.0,9453.0,7451.0,5555.0,3531.0,2485.0,1869.0,DC45
FREE STATE,ZA4,LEJWELEPUTSWA,ZA418,2020.0,287036.0,287157.0,574193.0,27055.0,27282.0,26238.0,23560.0,23381.0,23731.0,25117.0,21747.0,18278.0,15602.0,13683.0,12145.0,9873.0,7794.0,5423.0,3738.0,2389.0,27027.0,27266.0,25571.0,22928.0,23624.0,23991.0,26517.0,21979.0,19313.0,18781.0,15612.0,11578.0,8557.0,6396.0,3897.0,2620.0,1500.0,54082.0,54548.0,51809.0,46488.0,47005.0,47722.0,51634.0,43726.0,37591.0,34383.0,29295.0,23723.0,18430.0,14190.0,9320.0,6358.0,3889.0,DC18
FREE STATE,ZA4,MANGAUNG,ZA494,2020.0,421460.0,405161.0,826621.0,36492.0,37605.0,34692.0,35194.0,37639.0,36570.0,38490.0,33990.0,27405.0,21686.0,18872.0,17003.0,15230.0,11988.0,8468.0,5752.0,4384.0,36206.0,37443.0,34657.0,34295.0,37350.0,36718.0,41188.0,35063.0,28588.0,21238.0,16820.0,13622.0,11420.0,8826.0,5615.0,3643.0,2469.0,72698.0,75048.0,69349.0,69489.0,74989.0,73288.0,79678.0,69053.0,55993.0,42924.0,35692.0,30625.0,26650.0,20814.0,14083.0,9395.0,6853.0,MAN
LIMPOPO,ZA9,MOPANI,ZA933,2020.0,572324.0,490342.0,1062666.0,59612.0,59201.0,58709.0,55950.0,46515.0,45487.0,47956.0,41057.0,31445.0,26456.0,21695.0,18431.0,15943.0,14775.0,12873.0,8172.0,8047.0,59167.0,57907.0,59210.0,56411.0,43740.0,35082.0,35685.0,31236.0,24942.0,19875.0,15502.0,14224.0,12762.0,9883.0,7479.0,4009.0,3228.0,118779.0,117108.0,117919.0,112361.0,90255.0,80569.0,83641.0,72293.0,56387.0,46331.0,37197.0,32655.0,28705.0,24658.0,20352.0,12181.0,11275.0,DC33
